,vlatime,vlaconf,vlaband
0,2002-03-18 19:30:19,VLA:A:1,L C X U
1,2002-03-18 21:56:26,VLA:A:1,L C X U
2,2002-03-24 16:50:43,VLA:A:1,L
3,2002-03-29 15:38:49,VLA:A:1,X
4,2002-07-19 10:38:00,VLA:B:1,L
5,2002-07-21 12:52:49,VLA:B:1,L
6,2002-07-27 09:16:44,VLA:B:1,L
7,2002-08-03 08:33:19,VLA:B:1,L
8,2002-08-03 12:08:30,VLA:B:1,L
9,2002-08-04 09:26:25,VLA:B:1,L
10,2002-08-05 09:54:49,VLA:B:1,L
11,2002-08-08 08:54:45,VLA:B:1,L
12,2002-09-20 03:16:29,VLA:BC:1,X Q
13,2004-01-16 00:00:00,VLA:B:1,L
14,2004-05-30 13:38:10,VLA:CD:1,X
15,2004-11-28 03:14:50,VLA:A:1,X
16,2006-09-08 09:18:09,VLA:B:1,4
17,2006-09-09 07:32:49,VLA:B:1,X
18,2006-09-14 08:11:19,VLA:B:1,X
19,2007-08-20 11:17:59,VLA:A:1,L
20,2007-08-24 11:32:30,VLA:A:1,L
21,2007-09-05 08:45:40,VLA:A:1,C
22,2008-06-21 01:12:56,VLA:DnC:1,C X
23,2008-07-25 08:57:26,VLA:D:1,X K
24,2008-08-07 11:36:23,VLA:D:1,X Q
25,2008-09-29 02:36:50,VLA:D:1,L
26,2008-11-18 01:21:59,VLA:A:1,C
27,2008-12-21 19:40:53,VLA:A:1,L
28,2008-12-22 00:00:00,VLA:A:1,L
29,2008-12-23 01:33:03,VLA:A:1,L
30,2008-12-24 04:59:26,VLA:A:1,L
31,2008-12-27 00:48:03,VLA:A:1,L
32,2008-12-28 01:13:50,VLA:A:1,L
33,2009-01-27 00:45:36,VLA:AB:1,L
34,2009-01-31 00:00:00,VLA:AB:1,L
35,2009-02-10 00:49:43,VLA:AB:1,L
36,2009-02-28 20:06:43,VLA:B:1,L
37,2009-03-19 19:51:40,VLA:B:1,L
38,2009-04-03 20:28:26,VLA:B:1,L
39,2009-04-05 20:14:50,VLA:B:1,L
40,2009-06-14 03:40:59,VLA:CnB:1,C
41,2009-07-11 11:23:40,VLA:C:1,C X K
42,2009-11-07 02:08:29,VLA:D:1,L C
43,2009-11-08 03:01:40,VLA:D:1,C
44,2013-05-19 13:51:14,VLA:DnC:0,X Ka Q
45,2013-09-07 04:00:05,VLA:CnB:0,L
46,2013-09-14 05:07:08,VLA:CnB:0,L
47,2013-09-19 03:32:42,VLA:CnB:0,L
48,2013-09-23 06:01:33,VLA:CnB:0,L
49,2013-12-10 03:19:30,VLA:B:0,L S
50,2013-12-20 03:56:51,VLA:B:0,L S
51,2014-01-11 01:48:48,VLA:B:0,L S
52,2014-02-01 00:58:38,VLA:BnA:0,L S
53,2014-02-02 00:52:06,VLA:BnA:0,L S
54,2014-02-03 00:05:19,VLA:BnA:0,L S
55,2014-03-01 20:52:09,VLA:A:0,L S C
56,2015-03-14 22:16:42,VLA:B:0,L S
57,2015-04-02 21:08:19,VLA:B:0,L S
58,2015-04-03 20:35:13,VLA:B:0,L S
59,2015-04-12 21:24:55,VLA:B:0,X Ka
60,2015-04-18 19:16:56,VLA:B:0,L S
61,2015-04-19 19:05:13,VLA:B:0,L S
62,2015-05-26 16:58:58,VLA:BnA:0,L
63,2015-05-26 17:02:14,VLA:BnA:0,L
64,2016-02-12 01:32:53,VLA:C:0,X U K
65,2016-04-03 22:41:50,VLA:C:0,X S C K U
66,2016-05-20 19:08:00,VLA:B:0,C S
67,2016-11-27 02:21:07,VLA:A:0,X C
68,2016-11-29 04:22:10,VLA:A:0,U C X L S
69,2016-12-09 02:42:34,VLA:A:0,X C
70,2017-01-15 00:26:55,VLA:A:0,C S
71,2017-01-15 21:08:26,VLA:A:0,L S
72,2017-02-16 01:42:28,VLA:D:0,X Ka
73,2017-02-22 01:26:29,VLA:D:0,X K
74,2017-03-03 22:55:50,VLA:D:0,K X
75,2017-03-10 22:31:19,VLA:D:0,K X
76,2017-03-25 19:14:47,VLA:D:0,K X
77,2017-04-16 17:55:14,VLA:D:0,Ka X
78,2017-05-01 17:32:07,VLA:D:0,K X
79,2017-05-06 16:21:45,VLA:D:0,X Ka
80,2017-05-08 13:14:14,VLA:D:0,U K
81,2017-05-12 15:38:07,VLA:D:0,K X
82,2018-03-03 22:57:41,VLA:A:0,C S
83,2018-04-06 20:10:12,VLA:A:0,X S C
84,2018-09-27 09:33:04,VLA:D:0,Ka X
85,2018-10-03 08:50:38,VLA:D:0,X Ka
86,2018-10-19 07:44:30,VLA:D:0,Ka X
87,2018-12-04 06:14:21,VLA:C:0,X Ka
88,2018-12-05 06:04:33,VLA:C:0,X Ka
89,2018-12-06 04:10:55,VLA:C:0,X K
90,2018-12-08 05:01:16,VLA:C:0,X Ka
91,2018-12-15 05:39:38,VLA:C:0,X Ka
92,2018-12-16 05:07:20,VLA:C:0,X Ka
