,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
0,Milwaukee Bucks,E,C,15,6,0.7140000000000001,10.67,116.18,106.3,9.88,11.58,116.58,105.75,10.83
1,Denver Nuggets,W,NW,15,7,0.682,7.68,113.03,105.3,7.74,8.1,113.28,105.18,8.1
2,Toronto Raptors,E,A,19,4,0.826,8.65,116.38,107.78,8.6,7.52,116.07,108.62,7.46
3,Los Angeles Clippers,W,P,15,6,0.7140000000000001,5.29,114.5,109.27,5.23,5.6,114.36,108.79,5.57
4,Oklahoma City Thunder,W,NW,14,7,0.667,6.43,109.12,102.75,6.37,5.28,107.25,102.01,5.25
5,Golden State Warriors,W,P,15,8,0.652,4.96,115.82,110.98,4.84,4.91,115.89,111.1,4.79
6,Boston Celtics,E,A,12,10,0.545,4.18,108.18,104.14,4.04,4.24,108.41,104.3,4.11
7,Portland Trail Blazers,W,NW,13,9,0.591,1.91,112.78,110.47,2.31,3.24,113.25,109.66,3.59
8,Charlotte Hornets,E,SE,11,11,0.5,4.32,113.84,109.45,4.39,3.36,114.8,111.38,3.42
9,Indiana Pacers,E,C,13,9,0.591,3.73,109.05,105.13,3.91,2.27,108.36,105.95,2.42
10,Philadelphia 76ers,E,A,16,8,0.667,2.13,110.68,108.65,2.02,1.49,110.33,108.94,1.39
11,Memphis Grizzlies,W,SW,13,8,0.619,1.76,108.19,106.5,1.69,1.43,107.77,106.45,1.32
12,New Orleans Pelicans,W,SW,11,12,0.478,1.26,113.57,112.35,1.22,1.04,113.2,112.2,1.0
13,Los Angeles Lakers,W,P,13,9,0.591,0.68,108.67,107.99,0.68,0.4,108.37,107.92,0.45
14,Dallas Mavericks,W,SW,10,10,0.5,1.85,110.42,108.49,1.93,0.35,110.51,110.08,0.43
15,Minnesota Timberwolves,W,NW,11,11,0.5,-0.32,109.97,110.24,-0.28,0.2,109.63,109.44,0.19
16,Houston Rockets,W,SW,10,11,0.47600000000000003,-0.48,113.33,113.73,-0.41,-0.24,113.42,113.58,-0.16
17,Detroit Pistons,E,C,12,7,0.632,2.05,109.88,107.7,2.18,-0.32,108.69,108.86,-0.18
18,Utah Jazz,W,NW,11,12,0.478,-2.3,106.43,108.98,-2.55,-0.67,107.26,108.18,-0.93
19,Sacramento Kings,W,P,10,11,0.47600000000000003,-3.0,109.34,112.24,-2.9,-1.75,110.54,112.26,-1.71
20,Orlando Magic,E,SE,11,12,0.478,-2.3,107.6,109.9,-2.29,-1.94,107.12,109.05,-1.93
21,Brooklyn Nets,E,A,8,15,0.348,-1.96,110.58,112.58,-2.0,-2.35,110.08,112.47,-2.39
22,Miami Heat,E,SE,8,13,0.381,-1.57,107.36,109.05,-1.68,-3.14,106.45,109.59,-3.13
23,San Antonio Spurs,W,SW,10,12,0.455,-3.59,109.63,113.48,-3.85,-3.45,109.55,113.25,-3.7
24,Washington Wizards,E,SE,8,14,0.364,-6.27,108.89,114.96,-6.06,-5.37,108.61,113.76,-5.15
25,New York Knicks,E,A,7,16,0.304,-5.91,107.58,113.43,-5.85,-5.82,108.26,113.99,-5.72
26,Phoenix Suns,W,P,4,18,0.182,-10.14,103.83,113.87,-10.04,-8.03,105.74,113.75,-8.0
27,Chicago Bulls,E,C,5,18,0.217,-9.3,102.06,111.14,-9.08,-8.41,101.9,110.12,-8.23
28,Cleveland Cavaliers,E,C,4,17,0.19,-8.19,107.15,115.67,-8.52,-8.09,108.09,116.42,-8.33
29,Atlanta Hawks,E,SE,5,18,0.217,-10.65,102.22,112.24,-10.02,-10.34,102.31,112.02,-9.71
